http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,CL,ORDER,FAMILY,S,N_DET,N_UND,N_TY,N_2T,SPEC,LO_NO,TRAN,DATE,OPEN
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,PLECOPTERA,LEUCTRIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,PLECOPTERA,PERLIDAE,V,6,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,PLECOPTERA,PERLODIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,PLECOPTERA,NEMOURIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,PLECOPTERA,TAENIOPTERYGIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,APATANIIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,BRACHYCENTRIDAE,V,2,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,DIPSEUDOPSIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,HYDROPSYCHIDAE,V,4,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LEPIDOSTOMATIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LEPTOCERIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LIMBEPHILIDAE,V,0,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LIMNEPHILIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,ODONTOCERIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,PHILOPOTAMIDAE,V,2,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,RHYACOPHILIDAE,V,1,0,0,0,0,2018002,LOAN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,HYMENOPTERA,HALICTIDAE,P,-116,-1,0,0,-8,2017021,RTRN,Thu Jan 11 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,HESPERIIDAE,P,-22,0,0,0,-21,2017009,RTRN,Thu Jan 18 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,SATYRIDAE,P,-2,0,0,0,-2,2017009,RTRN,Thu Jan 18 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,TORTRICIDAE,P,-1,0,0,0,-1,2017009,RTRN,Thu Jan 18 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,LEPIDOPTERA,NOCTUIDAE,P,-1,0,0,0,-1,2017009,RTRN,Thu Jan 18 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,NEUROPTERA,MYRMELEONTIDAE,P,1,5,0,0,1,2018003,LOAN,Tue Jan 30 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,BUPRESTIDAE,P,-3,0,0,0,0,2014006,RTRN,Fri Feb 16 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,COLEOPTERA,BUPRESTIDAE,P,0,1,0,0,0,2014006,LOAN,Fri Feb 16 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,GLOSSOSOMATIDAE,V,21,0,0,0,2,2018004,LOAN,Thu Mar 01 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,HYDROPTILIDAE,V,723,0,0,0,13,2018004,LOAN,Thu Mar 01 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,PTILOCOLEPIDAE,V,1,0,0,0,1,2018004,LOAN,Thu Mar 01 00:00:00 CST 2018,true
hash://sha256/0dbffb337dc3069c0228f863e2737bd0ac664d08a09f6745833942b09c5151c9,application/dbase,IN,TRICHOPTERA,LIMNEPHILIDAE,P,3,0,0,0,2,2018005,LOAN,Thu Mar 01 00:00:00 CST 2018,true
